algorithm,dataset,mrr,antimrr,cutoff
mostpopular,cm100k_observed,0.051639662822978605,0.012687390764722733,10.0
itemknn,cm100k_observed,0.03950433171426863,0.012037267770481582,10.0
listrankmf,cm100k_observed,0.03774373072747763,0.008553655419087569,10.0
randomguess,cm100k_observed,0.006591060483216174,0.0038517276373044107,10.0
slim,cm100k_observed,0.017930403256407608,0.007647825913305008,10.0
svdpp,cm100k_observed,0.025468011290020152,0.005302535143269899,10.0
ranksgd,cm100k_observed,0.03033378353868208,0.007935036338223001,10.0
userknn,cm100k_observed,0.03576758683941574,0.009042747688889921,10.0
smootheditemaverage,cm100k_observed,0.005586424056555071,0.0015725448225971737,10.0
optimalobservedprecision,cm100k_observed,0.05183018587763576,0.011836304732758748,10.0
optimalobservedantiprecision,cm100k_observed,0.003686817508327027,0.0015352988782717063,10.0
optimaltrueprecision,cm100k_observed,0.060896017873346496,0.011678220969666,10.0
optimaltrueantiprecision,cm100k_observed,0.004642576806291294,0.0,10.0
optimaltrueprecisionrestricted,cm100k_observed,0.01143035569291156,0.0,10.0
optimaltrueantiprecisionrestricted,cm100k_observed,0.004642576806291294,0.0,10.0
pnmf,cm100k_observed,0.03342044482362233,0.0140466605278512,10.0
eals,cm100k_observed,0.009552351305141236,0.004156715360035653,10.0
gbpr,cm100k_observed,0.028817038669131673,0.01436459283965601,10.0
plsa,cm100k_observed,0.030191304640167827,0.01065375310416829,10.0
bpoissmf,cm100k_observed,0.004957267247115756,0.0022616136743758026,10.0
wrmf,cm100k_observed,0.031692328844503494,0.011212698927664147,10.0
wbpr,cm100k_observed,0.023436416525877458,0.01341935697448069,10.0
