algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,cm100k_observed,0.05358618203537602,0.016277992093687556,10.0
itemknn,cm100k_observed,0.03897353977457328,0.0132164267882204,10.0
listrankmf,cm100k_observed,0.03915273186908648,0.009560346951508692,10.0
randomguess,cm100k_observed,0.005508878072933343,0.0038961651438462848,10.0
slim,cm100k_observed,0.016855503553238692,0.008015541449496805,10.0
svdpp,cm100k_observed,0.023579172931161303,0.005633457402650703,10.0
ranksgd,cm100k_observed,0.028514109366416213,0.009046055672398258,10.0
userknn,cm100k_observed,0.03495221037850841,0.010319581167333749,10.0
smootheditemaverage,cm100k_observed,0.00523730516283722,0.001498961086181466,10.0
optimalobservedprecision,cm100k_observed,0.05294514342993299,0.015175675318612483,10.0
optimalobservedantiprecision,cm100k_observed,0.002051252791811042,0.0011616548931244128,10.0
optimaltrueprecision,cm100k_observed,0.061095622810340665,0.01520858866133773,10.0
optimaltrueantiprecision,cm100k_observed,0.0037360071706724904,0.0,10.0
pnmf,cm100k_observed,0.032529595453625194,0.014842520380343593,10.0
eals,cm100k_observed,0.007392925073542324,0.004273353812726306,10.0
gbpr,cm100k_observed,0.03075354741655137,0.016965235894367717,10.0
plsa,cm100k_observed,0.02700348409439852,0.012364053229280664,10.0
bpoissmf,cm100k_observed,0.0038742547595502427,0.0030260940755867513,10.0
wrmf,cm100k_observed,0.030887846907592265,0.013031530123224663,10.0
wbpr,cm100k_observed,0.023346626817156435,0.014049299616564393,10.0
