algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,cm100k_observed,0.05985936286299329,0.01610771500724697,10
itemknn,cm100k_observed,0.04296246722952984,0.015177254411882628,10
listrankmf,cm100k_observed,0.04570100239397114,0.012688032250826473,10
randomguess,cm100k_observed,0.006427676642644914,0.003579367627085654,10
slim,cm100k_observed,0.015672796161264803,0.008074131763949097,10
svdpp,cm100k_observed,0.03209376601424516,0.00625712085283511,10
ranksgd,cm100k_observed,0.03429470571963542,0.01003968102034224,10
userknn,cm100k_observed,0.03748222582824018,0.011852274366097837,10
smootheditemaverage,cm100k_observed,0.003418204576666285,0.001271645301283037,10
optimalobservedprecision,cm100k_observed,0.06323546797279428,0.015166599544339044,10
optimalobservedantiprecision,cm100k_observed,0.003810932565878001,0.0006123599760106028,10
optimaltrueprecision,cm100k_observed,0.0698375494751046,0.011862073001599154,10
optimaltrueantiprecision,cm100k_observed,0.0030331546582296445,0.0,10
pnmf,cm100k_observed,0.03172775435475555,0.01397668714016497,10
eals,cm100k_observed,0.006253520930486229,0.00541103906187194,10
gbpr,cm100k_observed,0.03187568894634732,0.018727414779955893,10
plsa,cm100k_observed,0.025210852514753388,0.014641075781627221,10
bpoissmf,cm100k_observed,0.003881994971596648,0.0010248433738816855,10
wrmf,cm100k_observed,0.034138964471703274,0.01677375039692643,10
wbpr,cm100k_observed,0.02987469281922401,0.015714778525676133,10
