algorithm,dataset,mrr,antimrr,cutoff
mostpopular,cm100k_observed,0.05150357244347013,0.012788231234522794,10
itemknn,cm100k_observed,0.03710926399545325,0.009215280315024561,10
listrankmf,cm100k_observed,0.03274215483294767,0.006383205456095482,10
randomguess,cm100k_observed,0.006771911663216011,0.004046908618519871,10
slim,cm100k_observed,0.018532557950716518,0.009287845573011815,10
svdpp,cm100k_observed,0.026837474120082815,0.004581760240328015,10
ranksgd,cm100k_observed,0.035423009783623595,0.005682925344050665,10
userknn,cm100k_observed,0.03837078309584703,0.009460378354240247,10
smootheditemaverage,cm100k_observed,0.005434782608695652,0.00159846547314578,10
optimalobservedprecision,cm100k_observed,0.051853205050136,0.011708886453131976,10
optimalobservedantiprecision,cm100k_observed,0.004534060000811919,0.0007672634271099744,10
optimaltrueprecision,cm100k_observed,0.06060772134940932,0.011792615596963422,10
optimaltrueantiprecision,cm100k_observed,0.005650448585231194,0.0,10
optimaltrueprecisionrestricted,cm100k_observed,0.012334571509763328,0.0,10
optimaltrueantiprecisionrestricted,cm100k_observed,0.005650448585231194,0.0,10
pnmf,cm100k_observed,0.035086063410871594,0.017600373482726424,10
eals,cm100k_observed,0.00948372102464174,0.003823630901636016,10
gbpr,cm100k_observed,0.027583424674217514,0.010549364673405592,10
plsa,cm100k_observed,0.032029188486989,0.010085555961515039,10
bpoissmf,cm100k_observed,0.008128831242641984,0.003516624040920716,10
wrmf,cm100k_observed,0.026228534892217756,0.006358340437624325,10
wbpr,cm100k_observed,0.018739597288190638,0.012960764015751226,10
