algorithm,dataset,mrr,antimrr,cutoff
mostpopular,cm100k_observed_synthetic,0.0012720086346947978,0.05270512525102701,10.0
itemknn,cm100k_observed_synthetic,0.0011139818116468604,0.014358566029158035,10.0
listrankmf,cm100k_observed_synthetic,0.0015448837001116101,0.006440377924325712,10.0
randomguess,cm100k_observed_synthetic,0.0008685472245494853,0.0053526055872435575,10.0
slim,cm100k_observed_synthetic,0.0017818369151411406,0.054542309650618216,10.0
svdpp,cm100k_observed_synthetic,0.0012032483292317194,0.003073445474162373,10.0
ranksgd,cm100k_observed_synthetic,0.00124477835978193,0.007456453609170655,10.0
userknn,cm100k_observed_synthetic,0.002148459213981263,0.038878682529685786,10.0
smootheditemaverage,cm100k_observed_synthetic,0.0005094837696003188,0.0011110270156263152,10.0
optimalobservedprecision,cm100k_observed_synthetic,0.0008528684789999963,0.022168746328393087,10.0
optimalobservedantiprecision,cm100k_observed_synthetic,0.0006229856207565147,0.0017980737851811574,10.0
optimaltrueprecision,cm100k_observed_synthetic,0.009626271036048708,0.017899582271882895,10.0
optimaltrueantiprecision,cm100k_observed_synthetic,0.0007711945376606025,0.0,10.0
optimaltrueprecisionrestricted,cm100k_observed_synthetic,0.0032605013990646635,0.0,10.0
optimaltrueantiprecisionrestricted,cm100k_observed_synthetic,0.0007711945376606025,0.0,10.0
pnmf,cm100k_observed_synthetic,0.0015602294599810149,0.03198298690161459,10.0
eals,cm100k_observed_synthetic,0.0012386526903369588,0.006223941985293195,10.0
gbpr,cm100k_observed_synthetic,0.001999147700986811,0.020977218340303118,10.0
plsa,cm100k_observed_synthetic,0.0011596995134931162,0.02757532920990145,10.0
bpoissmf,cm100k_observed_synthetic,0.001112387690444683,0.0039776840989760014,10.0
wrmf,cm100k_observed_synthetic,0.0005500863937998562,0.020753490643565176,10.0
wbpr,cm100k_observed_synthetic,0.0019319711326886927,0.03567512080299156,10.0
