algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,cm100k_observed_synthetic,0.001811369607420827,0.04718780107039995,10.0
itemknn,cm100k_observed_synthetic,0.0016092345576314033,0.012515000375129587,10.0
listrankmf,cm100k_observed_synthetic,0.0017585489999856479,0.006418654546945383,10.0
randomguess,cm100k_observed_synthetic,0.0009628461443403879,0.004459662458282656,10.0
slim,cm100k_observed_synthetic,0.0023694749092329085,0.04952289471744878,10.0
svdpp,cm100k_observed_synthetic,0.0014325685164060132,0.002881488212791325,10.0
ranksgd,cm100k_observed_synthetic,0.0013860180674105022,0.006721568871957645,10.0
userknn,cm100k_observed_synthetic,0.0024292014371578518,0.032931974234881665,10.0
smootheditemaverage,cm100k_observed_synthetic,0.0005564545285109766,0.0007586164445773097,10.0
optimalobservedprecision,cm100k_observed_synthetic,0.0010626338765401093,0.020396765567081844,10.0
optimalobservedantiprecision,cm100k_observed_synthetic,0.000772514515234733,0.0012273345033343148,10.0
optimaltrueprecision,cm100k_observed_synthetic,0.011702953138064845,0.015065635635987997,10.0
optimaltrueantiprecision,cm100k_observed_synthetic,0.001281411449024519,0.0,10.0
pnmf,cm100k_observed_synthetic,0.0020574629022420215,0.02868680698456009,10.0
eals,cm100k_observed_synthetic,0.0015077127355071786,0.005233437272504501,10.0
gbpr,cm100k_observed_synthetic,0.0028201859020988576,0.018980359009422902,10.0
plsa,cm100k_observed_synthetic,0.001728326983879242,0.023363398403712054,10.0
bpoissmf,cm100k_observed_synthetic,0.0017333116751571918,0.0041411393918321365,10.0
wrmf,cm100k_observed_synthetic,0.0008812394334933882,0.017490274744682226,10.0
wbpr,cm100k_observed_synthetic,0.0027944204617660097,0.03156603635021061,10.0
