algorithm,dataset,mrr,antimrr,cutoff
mostpopular,cm100k_observed_synthetic,0.0004537593534357288,0.052288488210818315,10
itemknn,cm100k_observed_synthetic,0.0004494786048184106,0.014760021232513142,10
listrankmf,cm100k_observed_synthetic,0.0007294395643910207,0.007221622917415798,10
randomguess,cm100k_observed_synthetic,0.0,0.004927569733394976,10
slim,cm100k_observed_synthetic,0.002356552113833667,0.055341518124689654,10
svdpp,cm100k_observed_synthetic,0.0006485334155237068,0.0018651221725655383,10
ranksgd,cm100k_observed_synthetic,0.0016840465060529786,0.007131299121590383,10
userknn,cm100k_observed_synthetic,0.003095409325182788,0.0412634201469153,10
smootheditemaverage,cm100k_observed_synthetic,0.0,0.0003236245954692557,10
optimalobservedprecision,cm100k_observed_synthetic,0.0015025427646786868,0.01727624526977278,10
optimalobservedantiprecision,cm100k_observed_synthetic,0.00013484358144552318,0.0013214670981661274,10
optimaltrueprecision,cm100k_observed_synthetic,0.009748548826218728,0.018472714508313212,10
optimaltrueantiprecision,cm100k_observed_synthetic,0.0010248112189859763,0.0,10
optimaltrueprecisionrestricted,cm100k_observed_synthetic,0.0032657831201520528,0.0,10
optimaltrueantiprecisionrestricted,cm100k_observed_synthetic,0.0010248112189859763,0.0,10
pnmf,cm100k_observed_synthetic,0.0020136641495864796,0.03672368623824934,10
eals,cm100k_observed_synthetic,0.00028895053166897827,0.006731477200732865,10
gbpr,cm100k_observed_synthetic,0.0019849831338504477,0.024644269789900856,10
plsa,cm100k_observed_synthetic,0.0019070735090152566,0.02372690536120957,10
bpoissmf,cm100k_observed_synthetic,0.00039382887279327405,0.0038055855207958767,10
wrmf,cm100k_observed_synthetic,0.0005239636307597473,0.018607130014897003,10
wbpr,cm100k_observed_synthetic,0.0008955326107429667,0.033367579322271884,10
