algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,cm100k_observed_synthetic,0.000598908581386341,0.04631908303045833,10
itemknn,cm100k_observed_synthetic,0.0007356130195111387,0.013118158160285028,10
listrankmf,cm100k_observed_synthetic,0.0007091283471248513,0.004817746919154617,10
randomguess,cm100k_observed_synthetic,0.0,0.0047640086806707916,10
slim,cm100k_observed_synthetic,0.0027072642605525193,0.048261445562331674,10
svdpp,cm100k_observed_synthetic,0.0009530070907555991,0.001958028883523586,10
ranksgd,cm100k_observed_synthetic,0.0011868997001949699,0.006774800414917707,10
userknn,cm100k_observed_synthetic,0.003067352336240913,0.03404666484377265,10
smootheditemaverage,cm100k_observed_synthetic,0.0,0.00028035111328516226,10
optimalobservedprecision,cm100k_observed_synthetic,0.0012350858044689148,0.017046178864362303,10
optimalobservedantiprecision,cm100k_observed_synthetic,0.00015969898110348716,0.0007430571309626124,10
optimaltrueprecision,cm100k_observed_synthetic,0.012017938536211872,0.012367176581617872,10
optimaltrueantiprecision,cm100k_observed_synthetic,0.0016568897541813365,0.0,10
pnmf,cm100k_observed_synthetic,0.0028567052846501803,0.030883863382520936,10
eals,cm100k_observed_synthetic,0.0003439992936575578,0.005167377058120015,10
gbpr,cm100k_observed_synthetic,0.0035007626391671876,0.02074815419383942,10
plsa,cm100k_observed_synthetic,0.0021533054118922164,0.01990309516702148,10
bpoissmf,cm100k_observed_synthetic,0.0006844093144979193,0.0043608654065599405,10
wrmf,cm100k_observed_synthetic,0.0010364049061483138,0.015412711077958384,10
wbpr,cm100k_observed_synthetic,0.001647858858618195,0.02747134871235416,10
