algorithm,dataset,mrr,antimrr,cutoff
mostpopular,cm100k_true,0.040518643134173284,0.014663934310820992,10.0
itemknn,cm100k_true,0.03279626815836852,0.01903196031228154,10.0
listrankmf,cm100k_true,0.03402244674722784,0.01798671015719196,10.0
randomguess,cm100k_true,0.017524722712994833,0.03675360926554427,10.0
slim,cm100k_true,0.022781640199661966,0.028807392996842252,10.0
svdpp,cm100k_true,0.02985794748899434,0.023629631853670147,10.0
ranksgd,cm100k_true,0.0313672705098567,0.020135447961615753,10.0
userknn,cm100k_true,0.03190432319672064,0.0207106934150278,10.0
smootheditemaverage,cm100k_true,0.016918119706920164,0.03133872735473552,10.0
optimalobservedprecision,cm100k_true,0.04109646125330916,0.013651598601186277,10.0
optimalobservedantiprecision,cm100k_true,0.018134011867933928,0.03476343889371786,10.0
optimaltrueprecision,cm100k_true,0.05095318240076223,0.016708020381094375,10.0
optimaltrueantiprecision,cm100k_true,0.0288453266094544,0.006697913059457665,10.0
optimaltrueprecisionrestricted,cm100k_true,0.04210287733896702,0.0077312971720545605,10.0
optimaltrueantiprecisionrestricted,cm100k_true,0.04210287733896702,0.0077312971720545605,10.0
pnmf,cm100k_true,0.030149537971125233,0.024364533102055465,10.0
eals,cm100k_true,0.019575115259671694,0.0342340338214958,10.0
gbpr,cm100k_true,0.02750826314759335,0.027259331687196353,10.0
plsa,cm100k_true,0.030186356155483242,0.023918988515755916,10.0
bpoissmf,cm100k_true,0.016372996293438538,0.03871093758791788,10.0
wrmf,cm100k_true,0.03041801123616969,0.02076668601887972,10.0
wbpr,cm100k_true,0.024070621025509407,0.028740302307632627,10.0
