algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,cm100k_true,0.02288727992691081,0.004569854404848407,10.0
itemknn,cm100k_true,0.017698733245546803,0.005359640296920314,10.0
listrankmf,cm100k_true,0.019814790244884195,0.005446031027580284,10.0
randomguess,cm100k_true,0.007817959518612107,0.011452064077971275,10.0
slim,cm100k_true,0.011755688271175261,0.008322234198588643,10.0
svdpp,cm100k_true,0.01588410382573891,0.006750370518686101,10.0
ranksgd,cm100k_true,0.016623607435009995,0.006299207106586208,10.0
userknn,cm100k_true,0.01660809464018016,0.006199186876094989,10.0
smootheditemaverage,cm100k_true,0.008093267808245926,0.009788109362666077,10.0
optimalobservedprecision,cm100k_true,0.02298199379302112,0.004188637107896803,10.0
optimalobservedantiprecision,cm100k_true,0.0075578519409653004,0.010500888117333863,10.0
optimaltrueprecision,cm100k_true,0.027368210450073954,0.004613380514792813,10.0
optimaltrueantiprecision,cm100k_true,0.015688665744572304,0.00193179270539534,10.0
pnmf,cm100k_true,0.01596575587440114,0.007064319371298934,10.0
eals,cm100k_true,0.009011359654984688,0.010045550994097615,10.0
gbpr,cm100k_true,0.014865753646952307,0.008232165686226643,10.0
plsa,cm100k_true,0.015742789703658045,0.006868873367775821,10.0
bpoissmf,cm100k_true,0.007329629996047506,0.011947493628709612,10.0
wrmf,cm100k_true,0.01594425080254682,0.006100128089243946,10.0
wbpr,cm100k_true,0.013433298470879453,0.007663700807107296,10.0
