algorithm,dataset,mrr,antimrr,cutoff
mostpopular,cm100k_true,0.03819522559680041,0.013382702162229723,10
itemknn,cm100k_true,0.031894060117485315,0.018971456692913384,10
listrankmf,cm100k_true,0.02942483752030996,0.01678930758655168,10
randomguess,cm100k_true,0.01999984376952881,0.03780699287589052,10
slim,cm100k_true,0.02407511561054868,0.032235033120859895,10
svdpp,cm100k_true,0.022969003874515687,0.02538588926384202,10
ranksgd,cm100k_true,0.024157917760279965,0.014731752280964879,10
userknn,cm100k_true,0.029173306461692288,0.016449896887889014,10
smootheditemaverage,cm100k_true,0.02251632608423947,0.03503273028371453,10
optimalobservedprecision,cm100k_true,0.0355072803399575,0.011258358330208725,10
optimalobservedantiprecision,cm100k_true,0.022046462942132233,0.0272208161479815,10
optimaltrueprecision,cm100k_true,0.04792057242844645,0.018266076115485565,10
optimaltrueantiprecision,cm100k_true,0.02731455443069616,0.00532355330583677,10
optimaltrueprecisionrestricted,cm100k_true,0.03514873140857393,0.00608830146231721,10
optimaltrueantiprecisionrestricted,cm100k_true,0.03514873140857393,0.00608830146231721,10
pnmf,cm100k_true,0.03308375515560555,0.0197576865391826,10
eals,cm100k_true,0.018840613673290835,0.039022075365579306,10
gbpr,cm100k_true,0.02668572678415198,0.026513092113485813,10
plsa,cm100k_true,0.02735790838645169,0.02218902324709411,10
bpoissmf,cm100k_true,0.0159866735408074,0.04553532370953631,10
wrmf,cm100k_true,0.03096487939007624,0.019378827646544184,10
wbpr,cm100k_true,0.017245109986251717,0.031210161229846267,10
