algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,cm100k_true,0.020698121376889037,0.004395523801630639,10
itemknn,cm100k_true,0.01772553532824504,0.005545974843926175,10
listrankmf,cm100k_true,0.018142452223839593,0.006306098536116327,10
randomguess,cm100k_true,0.008667190401720468,0.01123819920446522,10
slim,cm100k_true,0.01088915589987023,0.009273761892355707,10
svdpp,cm100k_true,0.01647384566370077,0.00559745308091055,10
ranksgd,cm100k_true,0.01620488540754244,0.007371349367229787,10
userknn,cm100k_true,0.01563606448493895,0.007120402791553117,10
smootheditemaverage,cm100k_true,0.008019051133738854,0.009883704065959493,10
optimalobservedprecision,cm100k_true,0.020252497309473684,0.0038821437905089545,10
optimalobservedantiprecision,cm100k_true,0.0059799677068122165,0.013543651813632837,10
optimaltrueprecision,cm100k_true,0.02510355318529638,0.0036532479543761815,10
optimaltrueantiprecision,cm100k_true,0.015731538062704876,0.0018767220732340514,10
pnmf,cm100k_true,0.013983344526708727,0.006311308772514896,10
eals,cm100k_true,0.008411865535682624,0.008806067438959678,10
gbpr,cm100k_true,0.01310144117734092,0.0084740238160544,10
plsa,cm100k_true,0.016850752006999332,0.006997898967341327,10
bpoissmf,cm100k_true,0.007692228237113926,0.010013964330212136,10
wrmf,cm100k_true,0.01519990352616781,0.006784562219497431,10
wbpr,cm100k_true,0.012278775165685858,0.0075022522395653555,10
