algorithm,dataset,mrr,antimrr,cutoff
mostpopular,cm100k_true_synthetic,0.001708502484207031,0.05350648613456963,10.0
itemknn,cm100k_true_synthetic,0.006956276388773402,0.039446263489414796,10.0
listrankmf,cm100k_true_synthetic,0.010895909824682049,0.03919017666803878,10.0
randomguess,cm100k_true_synthetic,0.01260813828334385,0.03934117985439231,10.0
slim,cm100k_true_synthetic,0.0020718554656287457,0.054939327363250336,10.0
svdpp,cm100k_true_synthetic,0.01957663169220552,0.034167886037483344,10.0
ranksgd,cm100k_true_synthetic,0.012793332764694068,0.03603224073074379,10.0
userknn,cm100k_true_synthetic,0.007738905148596624,0.05425303361753568,10.0
smootheditemaverage,cm100k_true_synthetic,0.020041825949303635,0.03291907719801458,10.0
optimalobservedprecision,cm100k_true_synthetic,0.003490250096301118,0.04582160965357254,10.0
optimalobservedantiprecision,cm100k_true_synthetic,0.015960211755770122,0.03326517134848712,10.0
optimaltrueprecision,cm100k_true_synthetic,0.04161527753786522,0.028302829683987885,10.0
optimaltrueantiprecision,cm100k_true_synthetic,0.02145112571266904,0.010538176661059506,10.0
optimaltrueprecisionrestricted,cm100k_true_synthetic,0.03022960376340797,0.012697212921051563,10.0
optimaltrueantiprecisionrestricted,cm100k_true_synthetic,0.03022960376340797,0.012697212921051563,10.0
pnmf,cm100k_true_synthetic,0.0028667820506670743,0.048711853508571476,10.0
eals,cm100k_true_synthetic,0.011316601623545192,0.03949004778314639,10.0
gbpr,cm100k_true_synthetic,0.005209940443618144,0.04475420825234586,10.0
plsa,cm100k_true_synthetic,0.0073032747700679385,0.04717217267080223,10.0
bpoissmf,cm100k_true_synthetic,0.015030684638527775,0.03669331140639736,10.0
wrmf,cm100k_true_synthetic,0.006905503810240615,0.043479836746756415,10.0
wbpr,cm100k_true_synthetic,0.004120963858998858,0.05012612772135577,10.0
