algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,cm100k_true_synthetic,0.0006833392936520014,0.019444489836926628,10.0
itemknn,cm100k_true_synthetic,0.003080729144848609,0.013784663237207857,10.0
listrankmf,cm100k_true_synthetic,0.004201884308744254,0.013170151400300001,10.0
randomguess,cm100k_true_synthetic,0.005732173355956632,0.01199319929292426,10.0
slim,cm100k_true_synthetic,0.000850204113423879,0.01975740698470459,10.0
svdpp,cm100k_true_synthetic,0.008284753398183284,0.010171823460709887,10.0
ranksgd,cm100k_true_synthetic,0.005239509067108012,0.011699756748155005,10.0
userknn,cm100k_true_synthetic,0.0029566999653570262,0.017844115027346036,10.0
smootheditemaverage,cm100k_true_synthetic,0.009982100344185117,0.009089711978044115,10.0
optimalobservedprecision,cm100k_true_synthetic,0.001297716141343959,0.015944095426805555,10.0
optimalobservedantiprecision,cm100k_true_synthetic,0.007677643803393236,0.009464098179723272,10.0
optimaltrueprecision,cm100k_true_synthetic,0.018496955416640936,0.007768658404857862,10.0
optimaltrueantiprecision,cm100k_true_synthetic,0.009877562683050699,0.003182725428224999,10.0
pnmf,cm100k_true_synthetic,0.0011383860923034066,0.01719623424290704,10.0
eals,cm100k_true_synthetic,0.004385295715592296,0.012780293625518722,10.0
gbpr,cm100k_true_synthetic,0.002024490859732174,0.01538429971541887,10.0
plsa,cm100k_true_synthetic,0.003008519988401654,0.015949870157701246,10.0
bpoissmf,cm100k_true_synthetic,0.006130476734191039,0.011594955394949927,10.0
wrmf,cm100k_true_synthetic,0.002639461877764801,0.014737003657654632,10.0
wbpr,cm100k_true_synthetic,0.0014445780322033326,0.017482433341292826,10.0
