algorithm,dataset,mrr,antimrr,cutoff
mostpopular,cm100k_true_synthetic,0.0008945513689346706,0.05357067558206079,10
itemknn,cm100k_true_synthetic,0.007261452968284088,0.037620478298846426,10
listrankmf,cm100k_true_synthetic,0.011079109062980031,0.04766799192795398,10
randomguess,cm100k_true_synthetic,0.01072445107075088,0.032071323152917074,10
slim,cm100k_true_synthetic,0.0024863708924429987,0.05492116201319237,10
svdpp,cm100k_true_synthetic,0.020720008433480923,0.03767394054395952,10
ranksgd,cm100k_true_synthetic,0.012539155447125087,0.038339583145085995,10
userknn,cm100k_true_synthetic,0.008811105087196168,0.0602045119122918,10
smootheditemaverage,cm100k_true_synthetic,0.02300118972320111,0.03381487003403512,10
optimalobservedprecision,cm100k_true_synthetic,0.003941146351013523,0.048321586699195805,10
optimalobservedantiprecision,cm100k_true_synthetic,0.017780714436312156,0.039703999879521695,10
optimaltrueprecision,cm100k_true_synthetic,0.03894310412336978,0.019813409234661607,10
optimaltrueantiprecision,cm100k_true_synthetic,0.022030962922803533,0.00953698683774585,10
optimaltrueprecisionrestricted,cm100k_true_synthetic,0.029476521791512306,0.010368287099786152,10
optimaltrueantiprecisionrestricted,cm100k_true_synthetic,0.029476521791512306,0.010368287099786152,10
pnmf,cm100k_true_synthetic,0.0025718351856871776,0.05615982952320714,10
eals,cm100k_true_synthetic,0.01101359898798229,0.042795397728984066,10
gbpr,cm100k_true_synthetic,0.005661727056413963,0.05208050962320412,10
plsa,cm100k_true_synthetic,0.006847685310683412,0.041079334959790374,10
bpoissmf,cm100k_true_synthetic,0.014770262943887233,0.04642894792325533,10
wrmf,cm100k_true_synthetic,0.005584545646215475,0.04036663052317701,10
wbpr,cm100k_true_synthetic,0.002255579651215325,0.04801210806903407,10
