algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,cm100k_true_synthetic,0.0010439563952896846,0.018734109780705707,10
itemknn,cm100k_true_synthetic,0.0030390170541604185,0.011795274030981762,10
listrankmf,cm100k_true_synthetic,0.003844892030090358,0.01443552077004882,10
randomguess,cm100k_true_synthetic,0.005459722913773821,0.012668318367347263,10
slim,cm100k_true_synthetic,0.0008409995409711989,0.019422044416295896,10
svdpp,cm100k_true_synthetic,0.009292071816046864,0.011293184136046772,10
ranksgd,cm100k_true_synthetic,0.00616531982763894,0.012375845060218268,10
userknn,cm100k_true_synthetic,0.0031605238189423893,0.016102848507493862,10
smootheditemaverage,cm100k_true_synthetic,0.010722806136133875,0.009010596119229174,10
optimalobservedprecision,cm100k_true_synthetic,0.0016700050660632209,0.01624920038119301,10
optimalobservedantiprecision,cm100k_true_synthetic,0.0074393539320805014,0.00967688934106037,10
optimaltrueprecision,cm100k_true_synthetic,0.020669603836877895,0.006925037046822556,10
optimaltrueantiprecision,cm100k_true_synthetic,0.010755993960336822,0.0027861484459034878,10
pnmf,cm100k_true_synthetic,0.0011138826291964233,0.018286468861320567,10
eals,cm100k_true_synthetic,0.004213458168908032,0.012063084095369487,10
gbpr,cm100k_true_synthetic,0.0022867356684307455,0.014143401763923164,10
plsa,cm100k_true_synthetic,0.002867265238974092,0.01672606784042579,10
bpoissmf,cm100k_true_synthetic,0.006230582477402523,0.010199966418889234,10
wrmf,cm100k_true_synthetic,0.0036607467213151104,0.014206669888144258,10
wbpr,cm100k_true_synthetic,0.0015739719665553386,0.01611852144927723,10
