algorithm,dataset,mrr,antimrr,cutoff
mostpopular,movielens1M,0.3256234471006138,0.09799047979112371,10.0
itemknn,movielens1M,0.33742484740675305,0.0460689211047667,10.0
listrankmf,movielens1M,0.2872760295482116,0.05937767962687971,10.0
randomguess,movielens1M,0.015489375027501076,0.012465897367587705,10.0
slim,movielens1M,0.45395854107376543,0.07045269247373924,10.0
svdpp,movielens1M,0.2252450780086968,0.01731454253753052,10.0
ranksgd,movielens1M,0.4248808666239694,0.05738208060054262,10.0
userknn,movielens1M,0.3177119323662928,0.08748614662943956,10.0
smootheditemaverage,movielens1M,0.03662238763282421,0.0043911396898262435,10.0
optimalobservedprecision,movielens1M,0.3288864352780518,0.08249201196889741,10.0
optimalobservedantiprecision,movielens1M,0.0003066119837562749,0.00016511207194948538,10.0
optimaltrueprecision,movielens1M,0.33046722512007115,0.082684516478936,10.0
optimaltrueantiprecision,movielens1M,0.0009840067574359939,0.0,10.0
optimaltrueprecisionrestricted,movielens1M,0.0017891212499289984,0.0,10.0
optimaltrueantiprecisionrestricted,movielens1M,0.0009840067574359939,0.0,10.0
pnmf,movielens1M,0.32389437088408696,0.10058863611952677,10.0
eals,movielens1M,0.45106601487161135,0.18935647180727216,10.0
gbpr,movielens1M,0.4663074276114618,0.16623438291068132,10.0
plsa,movielens1M,0.46532748709311156,0.08844224938708947,10.0
bpoissmf,movielens1M,0.04192393743682764,0.016702335630248144,10.0
wrmf,movielens1M,0.5282981141911696,0.14957166867767574,10.0
wbpr,movielens1M,0.14572042234244093,0.05973426441014453,10.0
