algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,movielens1M,0.15143979768881694,0.014065760452341706,10.0
itemknn,movielens1M,0.15538397876913385,0.005061006926185631,10.0
listrankmf,movielens1M,0.14031535969956996,0.009087363695634707,10.0
randomguess,movielens1M,0.0047625139940337385,0.0017279563697727494,10.0
slim,movielens1M,0.21939679562938758,0.008226289440643382,10.0
svdpp,movielens1M,0.09682610493270825,0.0015864603759303535,10.0
ranksgd,movielens1M,0.20857427310311144,0.005441323911607781,10.0
userknn,movielens1M,0.1480143927447866,0.011827958036507855,10.0
smootheditemaverage,movielens1M,0.022109105670905245,0.0006658995663168176,10.0
optimalobservedprecision,movielens1M,0.1563235321733793,0.011883266726584827,10.0
optimalobservedantiprecision,movielens1M,9.014671455487159e-05,4.614679850696494e-05,10.0
optimaltrueprecision,movielens1M,0.15679486951870686,0.011888689368758351,10.0
optimaltrueantiprecision,movielens1M,0.0002217849171361708,0.0,10.0
pnmf,movielens1M,0.1490654676434501,0.014402016466418666,10.0
eals,movielens1M,0.21530654099869154,0.03403233131955596,10.0
gbpr,movielens1M,0.232426594678132,0.026761287695874582,10.0
plsa,movielens1M,0.23814028626413974,0.011494532426093962,10.0
bpoissmf,movielens1M,0.011231411634169797,0.0025001186380395656,10.0
wrmf,movielens1M,0.2810682983024252,0.020992503274146528,10.0
wbpr,movielens1M,0.07116628030855847,0.009664297547342396,10.0
