algorithm,dataset,mrr,antimrr,cutoff
mostpopular,movielens1M,0.326393721807972,0.10169119290908851,10
itemknn,movielens1M,0.3382058363251404,0.045189240015254935,10
listrankmf,movielens1M,0.29205796872739703,0.06450362304546231,10
randomguess,movielens1M,0.015100735129732644,0.012890151365710605,10
slim,movielens1M,0.45505602240896353,0.07133171578490552,10
svdpp,movielens1M,0.2260786286345524,0.018892110834944305,10
ranksgd,movielens1M,0.41732848068804984,0.05784806880498678,10
userknn,movielens1M,0.3231471180021304,0.08971975644717982,10
smootheditemaverage,movielens1M,0.032542049683723255,0.0037254901960784314,10
optimalobservedprecision,movielens1M,0.331900290632685,0.08590155310950671,10
optimalobservedantiprecision,movielens1M,9.113504556752279e-05,0.0001161873199984219,10
optimaltrueprecision,movielens1M,0.3344482581765101,0.08494128167699005,10
optimaltrueantiprecision,movielens1M,0.0007036335661024974,0.0,10
optimaltrueprecisionrestricted,movielens1M,0.0014830814955090015,0.0,10
optimaltrueantiprecisionrestricted,movielens1M,0.0007036335661024974,0.0,10
pnmf,movielens1M,0.3279925960994727,0.10364862376875632,10
eals,movielens1M,0.4487611288646914,0.1905679830617693,10
gbpr,movielens1M,0.46310135321734325,0.17244499677805394,10
plsa,movielens1M,0.46127214265988087,0.08830611117686511,10
bpoissmf,movielens1M,0.03090109283149879,0.012699399008429662,10
wrmf,movielens1M,0.5213306637208874,0.1529678725950474,10
wbpr,movielens1M,0.1460624531502742,0.06471587696111308,10
