algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,movielens1M,0.15173014756626282,0.012926243326467239,10
itemknn,movielens1M,0.15579614173302797,0.00429898590525438,10
listrankmf,movielens1M,0.13774489549655325,0.007475463492598364,10
randomguess,movielens1M,0.004671610388628305,0.0016058901054881731,10
slim,movielens1M,0.2196285770593186,0.00725784666736255,10
svdpp,movielens1M,0.09875692051963807,0.0015572388471965164,10
ranksgd,movielens1M,0.20753436086276744,0.004442524863071448,10
userknn,movielens1M,0.14506126913328532,0.010910948350899497,10
smootheditemaverage,movielens1M,0.02469962996257612,0.0005310975779390891,10
optimalobservedprecision,movielens1M,0.15601597164447153,0.010841554237023538,10
optimalobservedantiprecision,movielens1M,5.216434648866069e-05,0.0001159298243492686,10
optimaltrueprecision,movielens1M,0.15673336808368465,0.010804660191411403,10
optimaltrueantiprecision,movielens1M,0.0002902271928030186,0.0,10
pnmf,movielens1M,0.14798211665824185,0.013162799983410557,10
eals,movielens1M,0.21387382683939765,0.03572953899304323,10
gbpr,movielens1M,0.23177836665250506,0.026565239565175203,10
plsa,movielens1M,0.23475355475539778,0.010336511977693228,10
bpoissmf,movielens1M,0.005923655665163016,0.0012018176653705932,10
wrmf,movielens1M,0.28075705834890713,0.02082789382174803,10
wbpr,movielens1M,0.0744746210103057,0.009723758376149997,10
