algorithm,dataset,mrr,antimrr,cutoff
mostpopular,movielens1M_time,0.3563485119915566,0.1321702842700218,10
itemknn,movielens1M_time,0.3525927314641225,0.07201322056965102,10
listrankmf,movielens1M_time,0.3756825535696927,0.11942569678790152,10
randomguess,movielens1M_time,0.04597828049271619,0.03336700967934564,10
slim,movielens1M_time,0.39152953103084337,0.0922238886805816,10
svdpp,movielens1M_time,0.28302226110625056,0.033763487897346164,10
ranksgd,movielens1M_time,0.38113048368953883,0.0933973531086392,10
userknn,movielens1M_time,0.35245698454359875,0.13035210876418224,10
smootheditemaverage,movielens1M_time,0.04183747864850227,0.009500201363718425,10
optimalobservedprecision,movielens1M_time,0.3654977155633324,0.12199586162840756,10
optimalobservedantiprecision,movielens1M_time,0.0006707494896471274,0.0008238553514144065,10
pnmf,movielens1M_time,0.35189559638378537,0.13579830298990403,10
eals,movielens1M_time,0.28323299865294616,0.1339027066061187,10
gbpr,movielens1M_time,0.35751468566429195,0.14887548778624893,10
plsa,movielens1M_time,0.39640114430140677,0.11185789276340459,10
bpoissmf,movielens1M_time,0.0298896665694566,0.03954540404671639,10
wrmf,movielens1M_time,0.3483491646877474,0.1408816953436376,10
wbpr,movielens1M_time,0.20166888861114582,0.12012769237178685,10
