algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,movielens1M_time,0.16995165755307065,0.016641371727783596,10
itemknn,movielens1M_time,0.17533179097192145,0.005352313086995161,10
listrankmf,movielens1M_time,0.18936404870157153,0.013723042231176269,10
randomguess,movielens1M_time,0.011948611414247962,0.00474370007499937,10
slim,movielens1M_time,0.19111140104842989,0.007859906873185331,10
svdpp,movielens1M_time,0.1248529635212325,0.002284637730199799,10
ranksgd,movielens1M_time,0.1709528603415108,0.005201756289831068,10
userknn,movielens1M_time,0.16825678206047112,0.011816512557115738,10
smootheditemaverage,movielens1M_time,0.027977336342430076,0.0012118350080869056,10
optimalobservedprecision,movielens1M_time,0.18131061537673895,0.014552848741570819,10
optimalobservedantiprecision,movielens1M_time,0.00020960603406000128,0.00023989005465997488,10
pnmf,movielens1M_time,0.1650905215184242,0.01687962126915468,10
eals,movielens1M_time,0.1124659901049949,0.0176994687949812,10
gbpr,movielens1M_time,0.16435735692247605,0.019661131429891877,10
plsa,movielens1M_time,0.19751248464718704,0.009789695429707994,10
bpoissmf,movielens1M_time,0.008341325928018822,0.00563611114847071,10
wrmf,movielens1M_time,0.1626511621818638,0.013955597251243882,10
wbpr,movielens1M_time,0.09720220103933404,0.013198950194448326,10
