algorithm,dataset,mrr,antimrr,cutoff
mostpopular,yahoo_observed,0.10914298982289564,0.1522335109966356,10.0
itemknn,yahoo_observed,0.1405260415025414,0.11627010826141107,10.0
listrankmf,yahoo_observed,0.1013127721838993,0.1169201489489271,10.0
randomguess,yahoo_observed,0.0054579964385854125,0.008991094325349171,10.0
slim,yahoo_observed,0.0907152818618795,0.058387327774319854,10.0
svdpp,yahoo_observed,0.030106756488912877,0.011960781099301415,10.0
ranksgd,yahoo_observed,0.08788332104589497,0.054663064584828655,10.0
userknn,yahoo_observed,0.1594943194922702,0.14478930456821507,10.0
smootheditemaverage,yahoo_observed,0.001707946237361209,0.0005299438916606563,10.0
optimalobservedprecision,yahoo_observed,0.1118852804635766,0.12731791035379442,10.0
optimalobservedantiprecision,yahoo_observed,0.0007570676747701566,0.0002926942170538248,10.0
optimaltrueprecision,yahoo_observed,0.11294424069257332,0.12729608598896877,10.0
optimaltrueantiprecision,yahoo_observed,0.002169536586936134,0.0,10.0
optimaltrueprecisionrestricted,yahoo_observed,0.002597939952456227,1.7346895451595495e-05,10.0
optimaltrueantiprecisionrestricted,yahoo_observed,0.002169536586936134,0.0,10.0
pnmf,yahoo_observed,0.12979364791626521,0.1657550860221811,10.0
eals,yahoo_observed,0.08632777031239966,0.0877440848904964,10.0
gbpr,yahoo_observed,0.15478314459188014,0.16225587472674552,10.0
plsa,yahoo_observed,0.14030483963674026,0.10931916891857127,10.0
bpoissmf,yahoo_observed,0.0044180233400552636,0.00672428070587079,10.0
wrmf,yahoo_observed,0.19739992414121893,0.1626506535022461,10.0
wbpr,yahoo_observed,0.05728342673270202,0.06309600859294824,10.0
