algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,yahoo_observed,0.11661922476160962,0.07542708187677492,10.0
itemknn,yahoo_observed,0.13629497639791427,0.04841087596281528,10.0
listrankmf,yahoo_observed,0.10564540839750139,0.05786804604540576,10.0
randomguess,yahoo_observed,0.0051271220462096295,0.00412005136605984,10.0
slim,yahoo_observed,0.06639458096265229,0.021685316614091673,10.0
svdpp,yahoo_observed,0.02323447117449745,0.004576116124331016,10.0
ranksgd,yahoo_observed,0.07663165342651392,0.02016514515019601,10.0
userknn,yahoo_observed,0.1577599527461955,0.06539498480330483,10.0
smootheditemaverage,yahoo_observed,0.0017329468711619503,0.0002319907918228525,10.0
optimalobservedprecision,yahoo_observed,0.11710158884861459,0.06469405271760789,10.0
optimalobservedantiprecision,yahoo_observed,0.0007466195333926814,0.0001810721216942962,10.0
optimaltrueprecision,yahoo_observed,0.11753340718008165,0.06473992526201856,10.0
optimaltrueantiprecision,yahoo_observed,0.0012014398488298514,0.0,10.0
pnmf,yahoo_observed,0.13668537546603804,0.08073299985981863,10.0
eals,yahoo_observed,0.07191488441128194,0.03606456207653863,10.0
gbpr,yahoo_observed,0.16356312378208998,0.07714962461033517,10.0
plsa,yahoo_observed,0.13173245031027123,0.046949718407240326,10.0
bpoissmf,yahoo_observed,0.004322998110841519,0.003478567096971877,10.0
wrmf,yahoo_observed,0.19414795269422064,0.06885641944634828,10.0
wbpr,yahoo_observed,0.0588054099790349,0.031505937699974326,10.0
