algorithm,dataset,mrr,antimrr,cutoff
mostpopular,yahoo_observed,0.11173146039671872,0.15728255004709776,10
itemknn,yahoo_observed,0.13444942857752537,0.11382799711011733,10
listrankmf,yahoo_observed,0.10489969241649671,0.13800386232208778,10
randomguess,yahoo_observed,0.005952914422282581,0.008147533387594842,10
slim,yahoo_observed,0.09280737773631954,0.05710696223947616,10
svdpp,yahoo_observed,0.03114595431668602,0.015163653323822327,10
ranksgd,yahoo_observed,0.08954086531866444,0.05331140009937783,10
userknn,yahoo_observed,0.15834720355077567,0.14607259458421357,10
smootheditemaverage,yahoo_observed,0.0016748668611545506,0.00030354437402641747,10
optimalobservedprecision,yahoo_observed,0.11235348630201712,0.1263268920653211,10
optimalobservedantiprecision,yahoo_observed,0.0007617950195249984,0.0004104669843098881,10
optimaltrueprecision,yahoo_observed,0.11582111687258605,0.13216793022823367,10
optimaltrueantiprecision,yahoo_observed,0.002810243231791148,0.0,10
optimaltrueprecisionrestricted,yahoo_observed,0.0033103331595745653,0.0,10
optimaltrueantiprecisionrestricted,yahoo_observed,0.002810243231791148,0.0,10
pnmf,yahoo_observed,0.12756385634722486,0.16811877173889847,10
eals,yahoo_observed,0.08576915690416746,0.0865666181971156,10
gbpr,yahoo_observed,0.15774666886151426,0.15735578784359275,10
plsa,yahoo_observed,0.1431995543240022,0.10944516081831233,10
bpoissmf,yahoo_observed,0.003957279730277617,0.0052454571227377065,10
wrmf,yahoo_observed,0.19306153803945236,0.1570190921256794,10
wbpr,yahoo_observed,0.054771583430120015,0.06327067348288781,10
