algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,yahoo_observed,0.11747112475973902,0.07741956928638799,10
itemknn,yahoo_observed,0.1397563018373533,0.04910451199250844,10
listrankmf,yahoo_observed,0.11028207224701195,0.06098432810392811,10
randomguess,yahoo_observed,0.006611809538956068,0.004137317201335712,10
slim,yahoo_observed,0.06556624133369786,0.019985805811963225,10
svdpp,yahoo_observed,0.023874254642771105,0.0040101294689478565,10
ranksgd,yahoo_observed,0.07669290212856801,0.021747585179166976,10
userknn,yahoo_observed,0.16007493744104115,0.06801464902454125,10
smootheditemaverage,yahoo_observed,0.0016049512493892697,0.00018047050702041693,10
optimalobservedprecision,yahoo_observed,0.12138877432079859,0.06555718519575154,10
optimalobservedantiprecision,yahoo_observed,0.000476172425218646,0.0002134605891288578,10
optimaltrueprecision,yahoo_observed,0.11974120849652022,0.06304881147745989,10
optimaltrueantiprecision,yahoo_observed,0.0006936808915255522,0.0,10
pnmf,yahoo_observed,0.13871326800799239,0.08158536278232432,10
eals,yahoo_observed,0.06984212017572589,0.03912021922676672,10
gbpr,yahoo_observed,0.1612800757778375,0.08393605715769052,10
plsa,yahoo_observed,0.12240775779532409,0.04386178962188176,10
bpoissmf,yahoo_observed,0.003079083267513635,0.00354861990800292,10
wrmf,yahoo_observed,0.19391103143608798,0.06795619132857177,10
wbpr,yahoo_observed,0.06197944358242392,0.032440066931426904,10
