algorithm,dataset,mrr,antimrr,cutoff
mostpopular,yahoo_true,0.020969268077601414,0.018200661375661377,10.0
itemknn,yahoo_true,0.02718615520282187,0.012971090534979423,10.0
listrankmf,yahoo_true,0.02125033803644915,0.018911228689006472,10.0
randomguess,yahoo_true,0.006805702527924749,0.022888477366255145,10.0
slim,yahoo_true,0.01908321575543798,0.016882657260435037,10.0
svdpp,yahoo_true,0.01183289241622575,0.020529952968841855,10.0
ranksgd,yahoo_true,0.02172905643738977,0.014771663727219284,10.0
userknn,yahoo_true,0.02784348912404468,0.01355022045855379,10.0
smootheditemaverage,yahoo_true,0.007203350970017637,0.0233282480893592,10.0
optimalobservedprecision,yahoo_true,0.022588154027042916,0.01829016754850088,10.0
optimalobservedantiprecision,yahoo_true,0.004334553203997648,0.02510727513227513,10.0
optimaltrueprecision,yahoo_true,0.023739667842445623,0.017510964138741914,10.0
optimaltrueantiprecision,yahoo_true,0.013660214579659024,0.010019473838918283,10.0
optimaltrueprecisionrestricted,yahoo_true,0.021242798353909464,0.012117798353909465,10.0
optimaltrueantiprecisionrestricted,yahoo_true,0.021242798353909464,0.012117798353909465,10.0
pnmf,yahoo_true,0.024181378600823044,0.01808915343915344,10.0
eals,yahoo_true,0.020704659024103466,0.013872604350382128,10.0
gbpr,yahoo_true,0.027352087007642568,0.015292357436801884,10.0
plsa,yahoo_true,0.025582422104644325,0.015163683127572014,10.0
bpoissmf,yahoo_true,0.005821090534979424,0.023760258671369786,10.0
wrmf,yahoo_true,0.03356785714285714,0.01327283950617284,10.0
wbpr,yahoo_true,0.01389725161669606,0.01988367136978248,10.0
