algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,yahoo_true,0.017592341177110466,0.006302602201870502,10.0
itemknn,yahoo_true,0.023281705299656598,0.004215242852031359,10.0
listrankmf,yahoo_true,0.018806730330924896,0.006535525135292155,10.0
randomguess,yahoo_true,0.004191874304468841,0.008699015762008034,10.0
slim,yahoo_true,0.0150919709116935,0.00599979315742505,10.0
svdpp,yahoo_true,0.009209352305835528,0.007611524679502777,10.0
ranksgd,yahoo_true,0.018537980305351927,0.005156430749101271,10.0
userknn,yahoo_true,0.02431089300384081,0.004519634854990597,10.0
smootheditemaverage,yahoo_true,0.00562574929498798,0.008710964379037327,10.0
optimalobservedprecision,yahoo_true,0.019167111157053524,0.0061083321796724715,10.0
optimalobservedantiprecision,yahoo_true,0.0028675758975821954,0.009935253560144746,10.0
optimaltrueprecision,yahoo_true,0.020308695342274887,0.005914536858885539,10.0
optimaltrueantiprecision,yahoo_true,0.010784149189153297,0.0037122713127602466,10.0
pnmf,yahoo_true,0.020545079250063613,0.006008054035951921,10.0
eals,yahoo_true,0.016757338177560258,0.005015674595299524,10.0
gbpr,yahoo_true,0.024876535287979177,0.004889832404953413,10.0
plsa,yahoo_true,0.022178724759917716,0.005236153404112724,10.0
bpoissmf,yahoo_true,0.0038132529811213977,0.00904082562438223,10.0
wrmf,yahoo_true,0.030576293922854363,0.004151197138719645,10.0
wbpr,yahoo_true,0.011574868308913116,0.007106920387875379,10.0
