algorithm,dataset,mrr,antimrr,cutoff
mostpopular,yahoo_true,0.020935185185185185,0.018043577307466196,10
itemknn,yahoo_true,0.027537845385067608,0.012577895355673134,10
listrankmf,yahoo_true,0.01917254556143445,0.018355379188712523,10
randomguess,yahoo_true,0.00680680482069371,0.023400352733686066,10
slim,yahoo_true,0.019512639623750733,0.01730482069370958,10
svdpp,yahoo_true,0.01267798353909465,0.019628821281599058,10
ranksgd,yahoo_true,0.021731554967666076,0.014544018224573779,10
userknn,yahoo_true,0.03026601998824221,0.014465902410346856,10
smootheditemaverage,yahoo_true,0.006602292768959435,0.023355526161081715,10
optimalobservedprecision,yahoo_true,0.022252865961199294,0.018214506172839505,10
optimalobservedantiprecision,yahoo_true,0.004960611405055849,0.024425485008818346,10
optimaltrueprecision,yahoo_true,0.023777042915931804,0.01747170781893004,10
optimaltrueantiprecision,yahoo_true,0.01310574661963551,0.009922912992357437,10
optimaltrueprecisionrestricted,yahoo_true,0.021526822457378015,0.012043062904174017,10
optimaltrueantiprecisionrestricted,yahoo_true,0.021526822457378015,0.012043062904174017,10
pnmf,yahoo_true,0.023091857730746616,0.017621546149323927,10
eals,yahoo_true,0.022552028218694887,0.013684303350970019,10
gbpr,yahoo_true,0.02538778659611993,0.01635111699000588,10
plsa,yahoo_true,0.025744562022339802,0.015130070546737213,10
bpoissmf,yahoo_true,0.006025279247501469,0.023258083480305704,10
wrmf,yahoo_true,0.034676954732510284,0.014010141093474426,10
wbpr,yahoo_true,0.014001910640799529,0.02016710758377425,10
