algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,yahoo_true,0.017770326342201246,0.006280305340132138,10
itemknn,yahoo_true,0.023607816264507975,0.004171307904595725,10
listrankmf,yahoo_true,0.019057262205887222,0.006554111026123409,10
randomguess,yahoo_true,0.00426287417174235,0.008131504537121399,10
slim,yahoo_true,0.013360056542611864,0.006681896060798438,10
svdpp,yahoo_true,0.008543206826233914,0.007742831127560051,10
ranksgd,yahoo_true,0.0190614046306586,0.004755240612338522,10
userknn,yahoo_true,0.024477547781637174,0.004490500938112398,10
smootheditemaverage,yahoo_true,0.005802675711041023,0.008655363023190575,10
optimalobservedprecision,yahoo_true,0.019472704346615917,0.006076103934265553,10
optimalobservedantiprecision,yahoo_true,0.002777650975486151,0.009947648915561784,10
optimaltrueprecision,yahoo_true,0.020326213064261422,0.005926760300188575,10
optimaltrueantiprecision,yahoo_true,0.011093837644253167,0.0037278232134878727,10
pnmf,yahoo_true,0.021377229655983383,0.006126913028696621,10
eals,yahoo_true,0.014864976382518815,0.005278888132044228,10
gbpr,yahoo_true,0.025454441019870974,0.004882316817208146,10
plsa,yahoo_true,0.023596100582709636,0.005373573492026294,10
bpoissmf,yahoo_true,0.00458662588076396,0.008465698889259517,10
wrmf,yahoo_true,0.03085053461438461,0.004220278524232615,10
wbpr,yahoo_true,0.011271824150933384,0.006059735997918389,10
